id_atencion,id_cliente,documento_cliente,fecha_atencion,fecha_proceso,valor_facturado,estado,codigo_cups,canal_ingreso,json_detalle
13,1578,52192304,2025-11-21T19:49:49.530257,2025-11-21,133835.42,cancelada,1156,CALL_CENTER,"{""diagnostico"": ""DX14"", ""medico"": ""Dr. Perez""}"
14,735,18625146,2025-10-21T19:49:49.530275,2025-10-21,288641.52,CERRADA,6523,APP,{malformado: true}
15,559,45341284,2025-11-15T19:49:49.530290,2025-11-15,237004.65,cancelada,5626,WEB,"{""diagnostico"": ""DX155"", ""medico"": ""Dr. Gomez""}"
16,1972,60470573,2026-02-04T19:49:49.530306,2026-02-04,218867.53,CERRADA,7481,APP,"{""diagnostico"": ""DX154"", ""medico"": ""Dr. Perez""}"
17,1504,37320962,2025-09-02T19:49:49.530322,2025-09-02,87028.22,cancelada,6994,APP,"{""diagnostico"": ""DX76"", ""medico"": ""Dr. Lopez""}"
18,567,83092807,2025-09-29T19:49:49.530339,2025-09-29,293475.7,Cancelada,6427,CALL_CENTER,"{""diagnostico"": ""DX99"", ""medico"": ""Dr. Gomez""}"
19,1799,96128445,2026-01-15T19:49:49.530357,2026-01-15,320630.34,cancelada,7704,WEB,"{""diagnostico"": ""DX189"", ""medico"": ""Dr. Gomez""}"
20,1142,99857223,2025-10-09T19:49:49.530374,2025-10-09,305936.97,CERRADA,4228,CALL_CENTER,"{""diagnostico"": ""DX186"", ""medico"": ""Dr. Gomez""}"
21,487,11615181,2025-11-30T19:49:49.530390,2025-11-30,215012.97,cancelada,3713,WEB,"{""diagnostico"": ""DX71"", ""medico"": ""Dr. Perez""}"
22,90,78459680,2025-12-14T19:49:49.530406,2025-12-14,461644.18,ACTIVA,5633,APP,"{""diagnostico"": ""DX199"", ""medico"": ""Dr. Lopez""}"
23,301,94330954,2025-12-29T19:49:49.530424,2025-12-29,256930.97,ACTIVA,2537,APP,"{""diagnostico"": ""DX154"", ""medico"": ""Dr. Perez""}"
24,398,89107632,2025-11-14T19:49:49.530440,2025-11-14,162939.83,PENDIENTE,5825,APP,"{""diagnostico"": ""DX30"", ""medico"": ""Dr. Gomez""}"
25,556,55017835,2025-09-22T19:49:49.530456,2025-09-22,158757.47,CERRADA,8067,WEB,"{""diagnostico"": ""DX98"", ""medico"": ""Dr. Lopez""}"
26,996,46652488,2025-09-15T19:49:49.530474,2025-09-15,326313.9,CERRADA,7230,WEB,"{""diagnostico"": ""DX66"", ""medico"": ""Dr. Lopez""}"
27,1103,66755475,2026-02-07T19:49:49.530490,2026-02-07,159372.41,Pendiente,6818,CALL_CENTER,"{""diagnostico"": ""DX130"", ""medico"": ""Dr. Gomez""}"
28,899,67405223,2025-08-31T19:49:49.530506,2025-08-31,221855.58,PENDIENTE,8489,WEB,"{""diagnostico"": ""DX12"", ""medico"": ""Dr. Lopez""}"
29,1536,77330285,2025-11-22T19:49:49.530524,2025-11-22,94794.57,cancelada,6253,CALL_CENTER,"{""diagnostico"": ""DX44"", ""medico"": ""Dr. Lopez""}"
30,1997,71869073,2025-11-22T19:49:49.530542,2025-11-22,183460.05,Pendiente,1523,CALL_CENTER,{malformado: true}
31,180,56374447,2025-10-30T19:49:49.530556,2025-10-30,109093.8,ACTIVA,2797,APP,"{""diagnostico"": ""DX71"", ""medico"": ""Dr. Gomez""}"
32,816,75176962,2025-10-18T19:49:49.530573,2025-10-18,342332.62,Pendiente,1534,CALL_CENTER,"{""diagnostico"": ""DX187"", ""medico"": ""Dr. Lopez""}"
33,1717,51092244,2026-01-24T19:49:49.530600,2026-01-24,263976.99,PENDIENTE,5517,CALL_CENTER,"{""diagnostico"": ""DX72"", ""medico"": ""Dr. Perez""}"
34,1642,77087885,2025-10-28T19:49:49.530633,2025-10-28,-84904.78,cancelada,8670,APP,"{""diagnostico"": ""DX35"", ""medico"": ""Dr. Lopez""}"
35,1038,49262729,2026-02-20T19:49:49.530650,2026-02-20,254437.75,PENDIENTE,2936,WEB,"{""diagnostico"": ""DX34"", ""medico"": ""Dr. Perez""}"
36,1681,68085120,2025-08-24T19:49:49.530668,2025-08-24,319195.57,Cancelada,7923,APP,"{""diagnostico"": ""DX115"", ""medico"": ""Dr. Lopez""}"
37,871,14590723,2026-02-26T19:49:49.530684,2026-02-26,299242.75,PENDIENTE,3244,APP,"{""diagnostico"": ""DX85"", ""medico"": ""Dr. Perez""}"
38,19,62450384,2025-10-23T19:49:49.530702,2025-10-23,172748.02,cancelada,9521,WEB,"{""diagnostico"": ""DX12"", ""medico"": ""Dr. Gomez""}"
39,866,47448574,2026-02-24T19:49:49.530720,2026-02-24,-301129.29,cancelada,7795,APP,"{""diagnostico"": ""DX191"", ""medico"": ""Dr. Lopez""}"
40,1026,58835195,2026-02-22T19:49:49.530737,2026-02-22,155531.01,Cancelada,1739,APP,"{""diagnostico"": ""DX139"", ""medico"": ""Dr. Perez""}"
41,1546,60874603,2025-11-10T19:49:49.530754,2025-11-10,423110.12,Cancelada,9669,CALL_CENTER,"{""diagnostico"": ""DX182"", ""medico"": ""Dr. Perez""}"
42,135,35538969,2025-10-16T19:49:49.530771,2025-10-16,180284.65,Cancelada,6413,CALL_CENTER,"{""diagnostico"": ""DX129"", ""medico"": ""Dr. Gomez""}"
43,1270,51592253,2025-08-25T19:49:49.530787,2025-08-25,62996.94,cancelada,9569,APP,"{""diagnostico"": ""DX119"", ""medico"": ""Dr. Gomez""}"
44,1681,79870487,2026-01-10T19:49:49.530804,2026-01-10,221173.2,cancelada,6682,APP,"{""diagnostico"": ""DX38"", ""medico"": ""Dr. Gomez""}"
45,1272,17517201,2025-12-22T19:49:49.530821,2025-12-22,126982.75,ACTIVA,9119,WEB,"{""diagnostico"": ""DX33"", ""medico"": ""Dr. Gomez""}"
46,825,97991593,2025-11-26T19:49:49.530837,2025-11-26,303331.05,Pendiente,3330,CALL_CENTER,"{""diagnostico"": ""DX48"", ""medico"": ""Dr. Gomez""}"
47,1610,55894422,2025-11-12T19:49:49.530853,2025-11-12,212509.81,Pendiente,1737,CALL_CENTER,"{""diagnostico"": ""DX26"", ""medico"": ""Dr. Gomez""}"
48,180,11398558,2025-10-27T19:49:49.530870,2025-10-27,350781.13,cancelada,3623,APP,"{""diagnostico"": ""DX87"", ""medico"": ""Dr. Gomez""}"
49,455,88432484,2026-01-28T19:49:49.530887,2026-01-28,206724.96,Cancelada,8393,WEB,"{""diagnostico"": ""DX161"", ""medico"": ""Dr. Lopez""}"
50,596,74910193,2026-01-26T19:49:49.530903,2026-01-26,312655.12,PENDIENTE,8164,WEB,"{""diagnostico"": ""DX179"", ""medico"": ""Dr. Gomez""}"
51,1782,52124829,2025-10-07T19:49:49.530920,2025-10-07,138824.76,cancelada,1308,APP,"{""diagnostico"": ""DX125"", ""medico"": ""Dr. Perez""}"
52,343,15688505,2025-09-03T19:49:49.530936,2025-09-03,149006.21,Cancelada,4235,APP,"{""diagnostico"": ""DX177"", ""medico"": ""Dr. Perez""}"
53,1185,34783762,2025-09-08T19:49:49.530953,2025-09-08,263130.33,ACTIVA,7353,WEB,"{""diagnostico"": ""DX42"", ""medico"": ""Dr. Lopez""}"
54,741,69974585,2025-11-28T19:49:49.530969,2025-11-28,85655.91,CERRADA,4381,APP,"{""diagnostico"": ""DX19"", ""medico"": ""Dr. Gomez""}"
55,1744,77270161,2025-12-27T19:49:49.530986,2025-12-27,234505.32,Cancelada,5152,APP,"{""diagnostico"": ""DX136"", ""medico"": ""Dr. Gomez""}"
56,5,15926069,2025-09-29T19:49:49.531002,2025-09-29,172518.9,cancelada,6378,CALL_CENTER,"{""diagnostico"": ""DX158"", ""medico"": ""Dr. Gomez""}"
57,1274,18530508,2025-12-16T19:49:49.531018,2025-12-16,271554.05,CERRADA,6092,WEB,"{""diagnostico"": ""DX82"", ""medico"": ""Dr. Gomez""}"
58,1927,19057483,2026-02-04T19:49:49.531036,2026-02-04,285968.42,Cancelada,7159,CALL_CENTER,"{""diagnostico"": ""DX88"", ""medico"": ""Dr. Perez""}"
59,936,29135946,2025-08-26T19:49:49.531051,2025-08-26,208388.27,cancelada,3892,WEB,{malformado: true}
60,1193,15243534,2025-09-02T19:49:49.531067,2025-09-02,-287030.35,Pendiente,6481,APP,"{""diagnostico"": ""DX110"", ""medico"": ""Dr. Perez""}"
61,760,94680958,2025-10-26T19:49:49.531083,2025-10-26,163117.55,cancelada,6262,APP,"{""diagnostico"": ""DX99"", ""medico"": ""Dr. Perez""}"
62,1877,40234634,2025-12-27T19:49:49.531100,2025-12-27,401071.84,Pendiente,8787,CALL_CENTER,"{""diagnostico"": ""DX132"", ""medico"": ""Dr. Perez""}"
63,26,89481292,2025-08-25T19:49:49.531117,2025-08-25,241631.55,CERRADA,5758,WEB,"{""diagnostico"": ""DX168"", ""medico"": ""Dr. Gomez""}"
64,990,22523855,2025-08-25T19:49:49.531157,2025-08-25,227870.91,CERRADA,7964,WEB,"{""diagnostico"": ""DX68"", ""medico"": ""Dr. Lopez""}"
65,874,83297207,2025-09-30T19:49:49.531176,2025-09-30,19931.39,CERRADA,1098,APP,"{""diagnostico"": ""DX182"", ""medico"": ""Dr. Perez""}"
66,197,43389158,2025-11-12T19:49:49.531194,2025-11-12,262729.65,Cancelada,3665,APP,"{""diagnostico"": ""DX77"", ""medico"": ""Dr. Perez""}"
67,1389,67159223,2025-11-10T19:49:49.531211,2025-11-10,424121.31,CERRADA,2223,WEB,{malformado: true}
68,768,15158570,2026-01-10T19:49:49.531226,2026-01-10,153312.52,cancelada,7520,WEB,"{""diagnostico"": ""DX74"", ""medico"": ""Dr. Gomez""}"
69,655,16508850,2025-09-17T19:49:49.531242,2025-09-17,172326.86,Cancelada,3569,CALL_CENTER,"{""diagnostico"": ""DX182"", ""medico"": ""Dr. Perez""}"
70,1420,86353425,2026-02-26T19:49:49.531259,2026-02-26,103936.03,ACTIVA,9167,WEB,"{""diagnostico"": ""DX95"", ""medico"": ""Dr. Gomez""}"
71,804,76059784,2026-02-05T19:49:49.531276,2026-02-05,120263.22,cancelada,1572,APP,"{""diagnostico"": ""DX101"", ""medico"": ""Dr. Perez""}"
72,1333,53749282,2025-10-07T19:49:49.531292,2025-10-07,202849.02,Cancelada,6629,WEB,"{""diagnostico"": ""DX171"", ""medico"": ""Dr. Perez""}"
73,1657,54854299,2025-11-17T19:49:49.531309,2025-11-17,223212.17,Pendiente,4407,CALL_CENTER,"{""diagnostico"": ""DX173"", ""medico"": ""Dr. Gomez""}"
74,866,42181087,2026-03-01T19:49:49.531325,2026-03-01,481396.31,ACTIVA,8952,CALL_CENTER,"{""diagnostico"": ""DX167"", ""medico"": ""Dr. Gomez""}"
75,251,81556185,2025-12-01T19:49:49.531342,2025-12-01,-270077.88,ACTIVA,6565,APP,"{""diagnostico"": ""DX167"", ""medico"": ""Dr. Perez""}"
76,919,68401200,2025-10-03T19:49:49.531359,2025-10-03,345056.57,ACTIVA,1835,APP,"{""diagnostico"": ""DX132"", ""medico"": ""Dr. Gomez""}"
77,898,11420654,2026-01-12T19:49:49.531377,2026-01-12,346332.86,Pendiente,6287,APP,"{""diagnostico"": ""DX159"", ""medico"": ""Dr. Perez""}"
78,1075,66201142,2026-01-18T19:49:49.531393,2026-01-18,-364470.32,cancelada,5784,APP,"{""diagnostico"": ""DX98"", ""medico"": ""Dr. Gomez""}"
79,1485,39754050,2025-10-10T19:49:49.531411,2025-10-10,312405.97,Pendiente,7997,APP,"{""diagnostico"": ""DX158"", ""medico"": ""Dr. Perez""}"
80,1138,84736203,2025-10-29T19:49:49.531427,2025-10-29,241975.01,CERRADA,2334,APP,"{""diagnostico"": ""DX49"", ""medico"": ""Dr. Perez""}"
81,1493,69977558,2026-01-05T19:49:49.531445,2026-01-05,306263.4,Pendiente,4317,CALL_CENTER,"{""diagnostico"": ""DX186"", ""medico"": ""Dr. Gomez""}"
82,207,64182052,2025-10-02T19:49:49.531463,2025-10-02,284129.41,CERRADA,8060,CALL_CENTER,"{""diagnostico"": ""DX156"", ""medico"": ""Dr. Gomez""}"
83,1999,32232465,2025-10-08T19:49:49.531480,2025-10-08,353156.04,Pendiente,7349,APP,"{""diagnostico"": ""DX158"", ""medico"": ""Dr. Perez""}"
84,62,29374098,2025-09-19T19:49:49.531496,2025-09-19,241181.22,cancelada,1364,WEB,"{""diagnostico"": ""DX100"", ""medico"": ""Dr. Lopez""}"
85,1141,93211017,2025-12-24T19:49:49.531513,2025-12-24,352746.6,CERRADA,4039,CALL_CENTER,"{""diagnostico"": ""DX55"", ""medico"": ""Dr. Gomez""}"
86,42,64701945,2026-01-20T19:49:49.531530,2026-01-20,210206.05,Cancelada,7537,APP,"{""diagnostico"": ""DX197"", ""medico"": ""Dr. Lopez""}"
87,1546,22646791,2025-11-20T19:49:49.531545,2025-11-20,370402.58,PENDIENTE,7747,WEB,"{""diagnostico"": ""DX149"", ""medico"": ""Dr. Lopez""}"
88,881,78154397,2025-12-14T19:49:49.531561,2025-12-14,163267.89,PENDIENTE,8892,WEB,"{""diagnostico"": ""DX85"", ""medico"": ""Dr. Gomez""}"
89,49,94008106,2026-02-21T19:49:49.531578,2026-02-21,218420.37,Cancelada,4555,APP,"{""diagnostico"": ""DX40"", ""medico"": ""Dr. Lopez""}"
90,1870,56140970,2025-11-25T19:49:49.531594,2025-11-25,135178.35,CERRADA,5016,CALL_CENTER,"{""diagnostico"": ""DX190"", ""medico"": ""Dr. Perez""}"
91,1402,26921670,2025-11-14T19:49:49.531611,2025-11-14,330392.02,Pendiente,5025,WEB,"{""diagnostico"": ""DX129"", ""medico"": ""Dr. Perez""}"
92,1557,48478806,2025-11-30T19:49:49.531629,2025-11-30,227010.38,ACTIVA,4443,WEB,"{""diagnostico"": ""DX127"", ""medico"": ""Dr. Gomez""}"
93,916,84429969,2025-09-01T19:49:49.531652,2025-09-01,221928.82,ACTIVA,6724,CALL_CENTER,"{""diagnostico"": ""DX21"", ""medico"": ""Dr. Perez""}"
94,19,44753961,2025-10-25T19:49:49.531692,2025-10-25,296190.92,ACTIVA,5372,WEB,"{""diagnostico"": ""DX97"", ""medico"": ""Dr. Lopez""}"
95,745,60829267,2026-01-21T19:49:49.531710,2026-01-21,231529.45,Pendiente,6555,APP,"{""diagnostico"": ""DX55"", ""medico"": ""Dr. Lopez""}"
96,1208,40955478,2025-08-31T19:49:49.531726,2025-08-31,144415.91,ACTIVA,6490,WEB,"{""diagnostico"": ""DX112"", ""medico"": ""Dr. Gomez""}"
97,373,56684370,2025-12-05T19:49:49.531742,2025-12-05,297139.95,ACTIVA,9695,WEB,"{""diagnostico"": ""DX19"", ""medico"": ""Dr. Gomez""}"
98,703,30922682,2026-01-19T19:49:49.531759,2026-01-19,360750.44,ACTIVA,3376,WEB,"{""diagnostico"": ""DX42"", ""medico"": ""Dr. Gomez""}"
99,1041,71892112,2026-02-03T19:49:49.531775,2026-02-03,219468.67,PENDIENTE,6585,WEB,"{""diagnostico"": ""DX100"", ""medico"": ""Dr. Gomez""}"
100,1397,23867431,2025-12-11T19:49:49.531791,2025-12-11,102170.2,cancelada,4459,APP,"{""diagnostico"": ""DX39"", ""medico"": ""Dr. Gomez""}"
101,2022,46554696,2025-09-30T19:49:49.531807,2025-09-30,249499.57,PENDIENTE,3243,APP,"{""diagnostico"": ""DX29"", ""medico"": ""Dr. Lopez""}"
102,307,70868420,2025-10-01T19:49:49.531824,2025-10-01,356066.14,cancelada,6176,APP,"{""diagnostico"": ""DX14"", ""medico"": ""Dr. Lopez""}"
103,723,87266579,2026-02-18T19:49:49.531839,2026-02-18,265964.13,Cancelada,4392,WEB,"{""diagnostico"": ""DX27"", ""medico"": ""Dr. Perez""}"
104,1546,49028538,2026-01-14T19:49:49.531856,2026-01-14,61011.41,PENDIENTE,6053,WEB,"{""diagnostico"": ""DX123"", ""medico"": ""Dr. Lopez""}"
105,103,47362714,2025-10-29T19:49:49.531872,2025-10-29,359554.76,CERRADA,6851,APP,"{""diagnostico"": ""DX160"", ""medico"": ""Dr. Gomez""}"
106,679,64158919,2025-09-06T19:49:49.531888,2025-09-06,254087.01,Pendiente,2502,WEB,"{""diagnostico"": ""DX82"", ""medico"": ""Dr. Lopez""}"
107,1790,63622714,2025-09-21T19:49:49.531905,2025-09-21,181858.58,Pendiente,7654,CALL_CENTER,"{""diagnostico"": ""DX38"", ""medico"": ""Dr. Lopez""}"
108,2043,92039377,2025-09-04T19:49:49.531921,2025-09-04,228606.01,Pendiente,3436,CALL_CENTER,"{""diagnostico"": ""DX35"", ""medico"": ""Dr. Gomez""}"
109,1422,82035486,2025-09-25T19:49:49.531953,2025-09-25,80122.13,Cancelada,5911,APP,"{""diagnostico"": ""DX150"", ""medico"": ""Dr. Gomez""}"
110,404,64381878,2025-10-28T19:49:49.531973,2025-10-28,-196322.42,PENDIENTE,5163,WEB,"{""diagnostico"": ""DX166"", ""medico"": ""Dr. Gomez""}"
111,88,69513211,2026-03-01T19:49:49.531991,2026-03-01,257091.37,PENDIENTE,6003,CALL_CENTER,"{""diagnostico"": ""DX42"", ""medico"": ""Dr. Gomez""}"
112,586,31825552,2025-11-14T19:49:49.532007,2025-11-14,265062.62,Cancelada,6315,CALL_CENTER,"{""diagnostico"": ""DX122"", ""medico"": ""Dr. Perez""}"
113,318,43357473,2026-01-20T19:49:49.532023,2026-01-20,318393.05,ACTIVA,1709,WEB,"{""diagnostico"": ""DX119"", ""medico"": ""Dr. Lopez""}"
114,45,97695777,2026-01-03T19:49:49.532039,2026-01-03,387637.38,Pendiente,3603,WEB,"{""diagnostico"": ""DX179"", ""medico"": ""Dr. Gomez""}"
115,1102,11399298,2025-12-22T19:49:49.532056,2025-12-22,237485.47,ACTIVA,3261,CALL_CENTER,"{""diagnostico"": ""DX195"", ""medico"": ""Dr. Perez""}"
116,74,37607548,2026-01-10T19:49:49.532072,2026-01-10,358458.61,Pendiente,3379,WEB,"{""diagnostico"": ""DX67"", ""medico"": ""Dr. Perez""}"
117,688,46412646,2025-10-08T19:49:49.532088,2025-10-08,-323298.24,CERRADA,7743,APP,"{""diagnostico"": ""DX4"", ""medico"": ""Dr. Perez""}"
118,1553,54359378,2026-01-09T19:49:49.532104,2026-01-09,446714.05,ACTIVA,1324,APP,"{""diagnostico"": ""DX134"", ""medico"": ""Dr. Perez""}"
119,992,43099267,2025-10-16T19:49:49.532120,2025-10-16,197325.99,ACTIVA,1151,CALL_CENTER,"{""diagnostico"": ""DX24"", ""medico"": ""Dr. Perez""}"
120,955,33782567,2026-02-27T19:49:49.532137,2026-02-27,138368.12,Pendiente,1687,WEB,"{""diagnostico"": ""DX68"", ""medico"": ""Dr. Gomez""}"
121,310,72590275,2026-01-26T19:49:49.532154,2026-01-26,253992.29,PENDIENTE,1845,CALL_CENTER,"{""diagnostico"": ""DX40"", ""medico"": ""Dr. Lopez""}"
122,1165,11435367,2025-09-28T19:49:49.532170,2025-09-28,92886.33,PENDIENTE,6360,WEB,"{""diagnostico"": ""DX6"", ""medico"": ""Dr. Perez""}"
123,355,79773785,2025-12-11T19:49:49.532187,2025-12-11,95094.18,Pendiente,3581,CALL_CENTER,"{""diagnostico"": ""DX171"", ""medico"": ""Dr. Gomez""}"
124,1391,89291202,2025-11-15T19:49:49.532237,2025-11-15,167547.26,Pendiente,9418,WEB,"{""diagnostico"": ""DX183"", ""medico"": ""Dr. Perez""}"
125,442,37535144,2025-10-13T19:49:49.532254,2025-10-13,333874.11,Cancelada,9684,APP,"{""diagnostico"": ""DX39"", ""medico"": ""Dr. Perez""}"
126,1549,17723047,2025-11-02T19:49:49.532270,2025-11-02,348698.7,cancelada,4957,WEB,"{""diagnostico"": ""DX97"", ""medico"": ""Dr. Perez""}"
127,640,39227191,2025-09-10T19:49:49.532286,2025-09-10,411213.86,cancelada,4945,WEB,"{""diagnostico"": ""DX117"", ""medico"": ""Dr. Gomez""}"
128,1140,95536455,2025-09-21T19:49:49.532303,2025-09-21,263261.61,cancelada,3590,CALL_CENTER,"{""diagnostico"": ""DX67"", ""medico"": ""Dr. Gomez""}"
129,839,45580614,2025-12-26T19:49:49.532319,2025-12-26,209519.66,PENDIENTE,2574,APP,"{""diagnostico"": ""DX153"", ""medico"": ""Dr. Gomez""}"
130,1581,96417276,2025-10-14T19:49:49.532336,2025-10-14,263799.58,cancelada,4990,CALL_CENTER,"{""diagnostico"": ""DX70"", ""medico"": ""Dr. Gomez""}"
131,1115,96826584,2025-12-22T19:49:49.532353,2025-12-22,304421.57,CERRADA,4406,APP,"{""diagnostico"": ""DX84"", ""medico"": ""Dr. Lopez""}"
132,1788,73794852,2025-11-09T19:49:49.532369,2025-11-09,223016.79,PENDIENTE,9240,CALL_CENTER,"{""diagnostico"": ""DX93"", ""medico"": ""Dr. Lopez""}"
133,1076,69970725,2026-01-28T19:49:49.532385,2026-01-28,404656.64,ACTIVA,8645,CALL_CENTER,"{""diagnostico"": ""DX18"", ""medico"": ""Dr. Lopez""}"
134,479,74910926,2025-12-28T19:49:49.532401,2025-12-28,25689.12,ACTIVA,5777,CALL_CENTER,"{""diagnostico"": ""DX138"", ""medico"": ""Dr. Perez""}"
135,1324,98113314,2025-12-10T19:49:49.532417,2025-12-10,224709.52,PENDIENTE,8777,APP,"{""diagnostico"": ""DX102"", ""medico"": ""Dr. Lopez""}"
136,1933,28962244,2025-09-14T19:49:49.532433,2025-09-14,232174.02,Cancelada,4446,APP,"{""diagnostico"": ""DX59"", ""medico"": ""Dr. Lopez""}"
137,1116,64884186,2025-09-02T19:49:49.532455,2025-09-02,284235.19,CERRADA,4933,WEB,{malformado: true}
138,923,41522310,2025-09-29T19:49:49.532469,2025-09-29,197592.36,Cancelada,1564,APP,{malformado: true}
139,471,51540754,2026-01-08T19:49:49.532483,2026-01-08,296339.52,ACTIVA,2928,CALL_CENTER,"{""diagnostico"": ""DX95"", ""medico"": ""Dr. Perez""}"
140,349,71637625,2025-09-01T19:49:49.532499,2025-09-01,323793.27,PENDIENTE,3226,APP,"{""diagnostico"": ""DX125"", ""medico"": ""Dr. Lopez""}"
141,772,49466425,2025-10-27T19:49:49.532516,2025-10-27,168939.58,cancelada,6322,CALL_CENTER,"{""diagnostico"": ""DX116"", ""medico"": ""Dr. Gomez""}"
142,2069,39428781,2026-01-22T19:49:49.532548,2026-01-22,163221.99,PENDIENTE,5161,CALL_CENTER,"{""diagnostico"": ""DX102"", ""medico"": ""Dr. Lopez""}"
143,1135,31876123,2025-12-10T19:49:49.532565,2025-12-10,253541.13,CERRADA,3944,CALL_CENTER,"{""diagnostico"": ""DX35"", ""medico"": ""Dr. Gomez""}"
144,281,47357506,2026-01-18T19:49:49.532583,2026-01-18,344414.46,cancelada,2074,APP,"{""diagnostico"": ""DX84"", ""medico"": ""Dr. Perez""}"
145,210,72622472,2025-10-27T19:49:49.532600,2025-10-27,216435.35,ACTIVA,2211,CALL_CENTER,"{""diagnostico"": ""DX69"", ""medico"": ""Dr. Gomez""}"
146,230,79089289,2025-08-25T19:49:49.532617,2025-08-25,416351.56,ACTIVA,4185,WEB,"{""diagnostico"": ""DX159"", ""medico"": ""Dr. Perez""}"
147,502,35693164,2025-12-07T19:49:49.532633,2025-12-07,218423.55,Pendiente,8397,APP,"{""diagnostico"": ""DX189"", ""medico"": ""Dr. Perez""}"
148,1608,47706383,2026-02-25T19:49:49.532649,2026-02-25,50348.7,ACTIVA,4727,WEB,"{""diagnostico"": ""DX15"", ""medico"": ""Dr. Lopez""}"
149,1445,72341557,2026-02-27T19:49:49.532666,2026-02-27,89695.74,ACTIVA,4749,CALL_CENTER,"{""diagnostico"": ""DX149"", ""medico"": ""Dr. Perez""}"
150,1722,10693464,2025-12-30T19:49:49.532683,2025-12-30,49257.88,ACTIVA,5551,WEB,"{""diagnostico"": ""DX102"", ""medico"": ""Dr. Gomez""}"
151,1633,35981941,2025-11-05T19:49:49.532699,2025-11-05,142421.49,ACTIVA,2982,APP,"{""diagnostico"": ""DX115"", ""medico"": ""Dr. Perez""}"
152,1472,61555629,2026-02-10T19:49:49.532724,2026-02-10,361181.38,PENDIENTE,1604,APP,"{""diagnostico"": ""DX8"", ""medico"": ""Dr. Lopez""}"
153,1690,18346988,2025-10-15T19:49:49.532748,2025-10-15,135365.43,cancelada,9740,CALL_CENTER,"{""diagnostico"": ""DX84"", ""medico"": ""Dr. Perez""}"
154,1366,85154255,2025-12-21T19:49:49.532765,2025-12-21,280151.92,CERRADA,5709,APP,"{""diagnostico"": ""DX151"", ""medico"": ""Dr. Lopez""}"
155,412,22061944,2025-09-07T19:49:49.532781,2025-09-07,-364088.64,Cancelada,5698,WEB,"{""diagnostico"": ""DX73"", ""medico"": ""Dr. Perez""}"
156,216,80774706,2025-12-02T19:49:49.532798,2025-12-02,275985.52,Cancelada,2840,WEB,"{""diagnostico"": ""DX29"", ""medico"": ""Dr. Lopez""}"
157,1963,18234025,2025-12-20T19:49:49.532814,2025-12-20,325879.48,cancelada,1282,CALL_CENTER,"{""diagnostico"": ""DX135"", ""medico"": ""Dr. Lopez""}"
158,1082,95666328,2026-01-15T19:49:49.532830,2026-01-15,354655.47,CERRADA,3970,WEB,"{""diagnostico"": ""DX66"", ""medico"": ""Dr. Perez""}"
159,1153,79022844,2025-12-05T19:49:49.532846,2025-12-05,146823.97,Cancelada,1066,WEB,"{""diagnostico"": ""DX182"", ""medico"": ""Dr. Gomez""}"
160,2054,10910913,2025-10-28T19:49:49.532862,2025-10-28,291919.6,ACTIVA,4670,WEB,"{""diagnostico"": ""DX58"", ""medico"": ""Dr. Gomez""}"
